5.610869353885304918e+02,1.164886225072524581e+02
5.611634665721860529e+02,1.164926526803322417e+02
5.610493207291991666e+02,1.164880908695560890e+02
5.610474768977204576e+02,1.164940999409883204e+02
5.610410612368756347e+02,1.164904283532185474e+02
5.610358182315943623e+02,1.164970734811498403e+02
5.610326519489035491e+02,1.164959098392761661e+02
5.610558330123918722e+02,1.164837749773370490e+02
5.610483205095305266e+02,1.164865226203987305e+02
5.609976754257652374e+02,1.164956166354361500e+02
5.609976754257652374e+02,1.164956166354361500e+02
5.608621418980349063e+02,1.164709830399809505e+02
5.608703679840475615e+02,1.164794275708089941e+02
5.607705590011339609e+02,1.164896817106131408e+02
5.607104383440846505e+02,1.164727659944847886e+02
5.606843298609306885e+02,1.164637673776783089e+02
5.606365542333583107e+02,1.164994723041460674e+02
5.606373797750919721e+02,1.164985285032383473e+02
5.605322722953069388e+02,1.164923558869505769e+02
5.604060682120541514e+02,1.164832797089580509e+02
5.604251138670169894e+02,1.164707930102682525e+02
5.603237881525421926e+02,1.165107687572219106e+02
5.602409766350897371e+02,1.165148225238586264e+02
5.602280670962829845e+02,1.165090407963484012e+02
5.601266133667375016e+02,1.165017117166002407e+02
5.601221581692881273e+02,1.165003154559166916e+02
5.601057987873513184e+02,1.164929672589529162e+02
5.600253229393475749e+02,1.164991776952204816e+02
5.600370489347639023e+02,1.164968815722796478e+02
5.600239412585600576e+02,1.164954157093313825e+02
5.600209692793116574e+02,1.165019597992821474e+02
5.600160022673396725e+02,1.165001813466888763e+02
5.600043562881193111e+02,1.164985465219981222e+02
5.600021950620769076e+02,1.165068725679416275e+02
5.599996292926894057e+02,1.165079528351377149e+02
5.598557380982547329e+02,1.165219627190316345e+02
5.598601031704920388e+02,1.165216920723286904e+02
5.598124999194186557e+02,1.165294364156172691e+02
5.597345441754594049e+02,1.165154656008778176e+02
5.597177534643126364e+02,1.165097850930665686e+02
5.596440793108920388e+02,1.165174717319389828e+02
5.596203921152485918e+02,1.165164001511333254e+02
5.595749291644326604e+02,1.165172279479146340e+02
5.594511124352411571e+02,1.164936684107375413e+02
5.593960729351930468e+02,1.165153609462682169e+02
