# Y, Xleft, dXleft, Xright, dXright
-3.000000000000000000e+03,-4.246406767054197076e+02,2.655167575278972736e-01,-7.463910807281897064e+01,3.404480571895532326e-01
-2.250000000000000000e+03,-2.136365119485847686e+02,1.995409448395260577e-01,1.221184471604611872e+02,1.754806690815070014e-01
-1.500000000000000000e+03,-1.553911791624967691e+02,7.607644562774034183e-03,1.711293516440527753e+02,-4.837981737475210292e-02
-5.000000000000000000e+02,-1.510000000000000000e+02,0.000000000000000000e+00,1.470000000000000000e+02,0.000000000000000000e+00
