# T, X, dX, Y, dY
0.000000000000000000e+00,-5.566664336944615599e+01,1.512954519796939401e+00,-2.426719993054841325e+03,6.088753220682880496e+00
7.500000000000000000e+01,4.085612946669773038e+01,8.350018738518770745e-01,-1.974089222112342668e+03,5.927724396334185464e+00
1.500000000000000000e+02,6.700157552132979788e+01,5.376674042658981245e-02,-1.532949454943088767e+03,5.951170718450478958e+00
2.250000000000000000e+02,6.413513621070519832e+01,-1.189085657979377791e-01,-1.079485756943687193e+03,6.051731336610122192e+00
3.000000000000000000e+02,5.112703948373037122e+01,-2.131139187388157719e-01,-6.291946265050424927e+02,5.992097072630875765e+00
3.750000000000000000e+02,3.627356725489330103e+01,-1.430985174792749892e-01,-1.786100264242225251e+02,6.014909593644958363e+00
4.500000000000000000e+02,1.472451674711728664e+01,-6.705929208086075510e-01,2.685533764128590519e+02,5.858184669505354769e+00
5.250000000000000000e+02,-4.891723905101883929e+01,-5.821620515227802217e-01,7.054474777293950183e+02,5.914651894478325289e+00
6.000000000000000000e+02,-5.299439798975719640e+01,2.904845374247495005e-01,1.151326815114664669e+03,5.794145300653569031e+00
6.750000000000000000e+02,1.308326407302743455e+01,1.900244026785633311e+00,1.568864686439558682e+03,5.445455251313942036e+00
7.100000000000000000e+02,8.187015203512119399e+01,1.419860063982039344e+00,1.736204560292259657e+03,3.460188146041736523e+00
7.200000000000000000e+02,9.128408181439553459e+01,3.147601810838676628e-01,1.762372126122116015e+03,1.494918089846442033e+00
7.300000000000000000e+02,8.927816150533605821e+01,-4.564979472530504290e-01,1.768130873780056845e+03,1.380335409116522083e-01
8.200000000000000000e+02,6.284418707996763942e+01,0.000000000000000000e+00,1.788120322292380251e+03,-1.110223024625156540e-16
